datum,stat_kod,stat,vykonavana_cinnost_hlavni,vykonavana_cinnost_vedlejsi,plati_zalohy_dp_hlavni,plati_zalohy_dp_vedlejsi,dobrovolne_dp,dobrovolne_np
2010-03-31,ST.1,Česká republika,633958,312041,632025,86124,1160,135175
2010-06-30,ST.1,Česká republika,649116,328507,648409,87419,2867,143701
2010-09-30,ST.1,Česká republika,656224,334382,655550,88461,4157,147494
2010-12-31,ST.1,Česká republika,640406,336663,639572,95139,4807,151881
2011-03-31,ST.1,Česká republika,645383,330688,644480,79430,977,125186
2011-06-30,ST.1,Česká republika,663991,342332,663109,86038,2035,119392
2011-09-30,ST.1,Česká republika,667395,347543,666780,87385,3092,116834
2011-12-31,ST.1,Česká republika,649990,351774,649104,93131,4479,115115
2012-03-31,ST.1,Česká republika,637845,354969,637453,83871,728,93798
2012-06-30,ST.1,Česká republika,648492,363150,648300,87929,1842,99685
2012-09-30,ST.1,Česká republika,648797,365628,648606,88709,2846,98570
2012-12-31,ST.1,Česká republika,627596,366492,626729,92761,5166,98579
2013-03-31,ST.1,Česká republika,607594,366665,607377,82886,564,91385
2013-06-30,ST.1,Česká republika,624942,371054,624676,82850,1632,92911
2013-09-30,ST.1,Česká republika,623961,374320,623717,86191,2830,92995
2013-12-31,ST.1,Česká republika,602395,374833,601743,91010,4828,92525
2014-03-31,ST.1,Česká republika,585420,378152,585202,83053,522,87209
2014-06-30,ST.1,Česká republika,600905,384322,600672,85857,1550,90947
2014-09-30,ST.1,Česká republika,600905,387130,600672,88111,1550,91285
2014-12-31,ST.1,Česká republika,586112,386244,585541,90647,5169,91854
2015-03-31,ST.1,Česká republika,576911,387609,576680,85287,524,87134
2015-06-30,ST.1,Česká republika,592538,395204,592360,92139,1334,90740
2015-09-30,ST.1,Česká republika,593751,397695,593598,93782,2254,90451
2015-12-31,ST.1,Česká republika,578544,397408,578064,97636,4773,91065
2016-03-31,ST.1,Česká republika,572126,397723,571798,90702,403,87306
2016-06-30,ST.1,Česká republika,586769,403912,586134,96799,1154,90416
2016-09-30,ST.1,Česká republika,590532,405734,590265,97567,2022,90669
2016-12-31,ST.1,Česká republika,577818,403537,577278,100103,3904,90956
2017-03-31,ST.1,Česká republika,570346,401017,570082,93818,396,86561
2017-06-30,ST.1,Česká republika,585296,406807,584942,101115,1084,90243
2017-09-30,ST.1,Česká republika,590090,409012,589871,101926,1853,90694
2017-12-31,ST.1,Česká republika,582226,409218,581555,104674,3460,91391
2018-03-31,ST.1,Česká republika,578758,411223,578361,98729,309,88881
2018-06-30,ST.1,Česká republika,591004,417352,590686,105639,844,91989
2018-09-30,ST.1,Česká republika,596003,419968,595755,106440,1544,92482
2018-12-31,ST.1,Česká republika,590705,420650,590055,108675,2964,93704
2019-03-31,ST.1,Česká republika,588952,422055,588639,97764,297,90628
2019-06-30,ST.1,Česká republika,599001,429081,598760,108109,819,96134
2019-09-30,ST.1,Česká republika,603739,432462,603451,109221,1665,96362
2019-12-31,ST.1,Česká republika,598086,433279,595059,110568,2943,97273
